Time,y2,y3
2022-02-21 16:18:03.792,63,63
2022-02-21 16:18:04.604,63,63
2022-02-21 16:18:05.415,63,63
2022-02-21 16:18:06.226,63,63
2022-02-21 16:18:07.037,63,63
2022-02-21 16:18:07.849,63,63
2022-02-21 16:18:08.660,63,63
2022-02-21 16:18:09.472,63,63
2022-02-21 16:18:10.283,63,63
2022-02-21 16:18:11.094,63,63
2022-02-21 16:18:11.905,63,63
2022-02-21 16:18:12.510,44,44
2022-02-21 16:18:13.318,44,44
2022-02-21 16:18:14.128,44,44
2022-02-21 16:18:14.938,44,44
2022-02-21 16:18:15.749,44,44
2022-02-21 16:18:16.559,44,44
2022-02-21 16:18:17.369,44,44
2022-02-21 16:18:18.180,44,44
2022-02-21 16:18:18.990,44,44
2022-02-21 16:18:19.800,44,44
2022-02-21 16:18:20.610,44,44
2022-02-21 16:18:21.421,44,44
2022-02-21 16:18:22.231,44,44
2022-02-21 16:18:23.041,44,44
2022-02-21 16:18:23.852,44,44
2022-02-21 16:18:24.662,44,44
2022-02-21 16:18:25.472,44,44
2022-02-21 16:18:26.282,44,44
2022-02-21 16:18:27.093,32,32
2022-02-21 16:18:27.903,32,32
2022-02-21 16:18:28.713,32,32
2022-02-21 16:18:29.524,32,32
2022-02-21 16:18:30.334,32,32
2022-02-21 16:18:31.144,32,32
2022-02-21 16:18:31.955,32,32
2022-02-21 16:18:32.765,32,32
2022-02-21 16:18:33.575,32,32
2022-02-21 16:18:34.385,32,32
2022-02-21 16:18:35.196,32,32
2022-02-21 16:18:36.006,32,32
2022-02-21 16:18:36.816,32,32
2022-02-21 16:18:37.627,32,32
2022-02-21 16:18:38.315,44,44
2022-02-21 16:18:39.123,44,44
2022-02-21 16:18:39.933,44,44
2022-02-21 16:18:40.743,44,44
2022-02-21 16:18:41.554,44,44
2022-02-21 16:18:42.364,32,32
2022-02-21 16:18:43.174,32,32
2022-02-21 16:18:43.984,32,32
2022-02-21 16:18:44.795,32,32
2022-02-21 16:18:45.605,32,32
2022-02-21 16:18:46.415,32,32
2022-02-21 16:18:47.226,32,32
2022-02-21 16:18:48.036,32,32
2022-02-21 16:18:48.846,32,32
2022-02-21 16:18:49.656,32,32
2022-02-21 16:18:50.467,32,32
2022-02-21 16:18:51.277,32,32
2022-02-21 16:18:52.087,32,32
2022-02-21 16:18:52.898,32,32
2022-02-21 16:18:53.708,32,32
2022-02-21 16:18:54.518,32,32
2022-02-21 16:18:55.328,32,32
2022-02-21 16:18:56.139,32,32
2022-02-21 16:18:56.949,32,32
2022-02-21 16:18:57.759,32,32
2022-02-21 16:18:58.570,32,32
2022-02-21 16:18:59.380,32,32
